datum_snapshot,datum_slot,uhrzeit_slot,dauer_minuten,court,preis,status,tage_im_voraus
2026-05-20T09:53:59,2026-05-20,14:30,90,Court 2,36.0,frei,0
2026-05-20T09:53:59,2026-05-20,14:30,120,Court 2,56.0,frei,0
2026-05-20T09:53:59,2026-05-20,15:00,60,Court 2,24.0,frei,0
2026-05-20T09:53:59,2026-05-20,15:00,90,Court 2,44.0,frei,0
2026-05-20T09:53:59,2026-05-20,15:00,120,Court 2,64.0,frei,0
2026-05-20T09:53:59,2026-05-20,15:30,60,Court 2,32.0,frei,0
2026-05-20T09:53:59,2026-05-20,15:30,90,Court 2,52.0,frei,0
2026-05-20T09:53:59,2026-05-20,16:00,60,Court 2,40.0,frei,0
2026-05-20T09:53:59,2026-05-20,16:00,120,Court 2,80.0,frei,0
2026-05-20T09:53:59,2026-05-20,16:30,90,Court 2,60.0,frei,0
2026-05-20T09:53:59,2026-05-20,17:00,60,Court 2,40.0,frei,0
2026-05-20T09:53:59,2026-05-20,22:00,60,Court 2,40.0,frei,0
2026-05-20T09:53:59,2026-05-20,10:00,60,Court 3,24.0,frei,0
2026-05-20T09:53:59,2026-05-20,10:00,90,Court 3,36.0,frei,0
2026-05-20T09:53:59,2026-05-20,10:00,120,Court 3,48.0,frei,0
2026-05-20T09:53:59,2026-05-20,10:30,60,Court 3,24.0,frei,0
2026-05-20T09:53:59,2026-05-20,10:30,90,Court 3,36.0,frei,0
2026-05-20T09:53:59,2026-05-20,10:30,120,Court 3,48.0,frei,0
2026-05-20T09:53:59,2026-05-20,11:00,60,Court 3,24.0,frei,0
2026-05-20T09:53:59,2026-05-20,11:00,90,Court 3,36.0,frei,0
2026-05-20T09:53:59,2026-05-20,11:00,120,Court 3,48.0,frei,0
2026-05-20T09:53:59,2026-05-20,11:30,60,Court 3,24.0,frei,0
2026-05-20T09:53:59,2026-05-20,11:30,90,Court 3,36.0,frei,0
2026-05-20T09:53:59,2026-05-20,11:30,120,Court 3,48.0,frei,0
2026-05-20T09:53:59,2026-05-20,12:00,60,Court 3,24.0,frei,0
2026-05-20T09:53:59,2026-05-20,12:00,90,Court 3,36.0,frei,0
2026-05-20T09:53:59,2026-05-20,12:00,120,Court 3,48.0,frei,0
2026-05-20T09:53:59,2026-05-20,12:30,60,Court 3,24.0,frei,0
2026-05-20T09:53:59,2026-05-20,12:30,90,Court 3,36.0,frei,0
2026-05-20T09:53:59,2026-05-20,12:30,120,Court 3,48.0,frei,0
2026-05-20T09:53:59,2026-05-20,13:00,60,Court 3,24.0,frei,0
2026-05-20T09:53:59,2026-05-20,13:00,90,Court 3,36.0,frei,0
2026-05-20T09:53:59,2026-05-20,13:00,120,Court 3,48.0,frei,0
2026-05-20T09:53:59,2026-05-20,13:30,60,Court 3,24.0,frei,0
2026-05-20T09:53:59,2026-05-20,13:30,90,Court 3,36.0,frei,0
2026-05-20T09:53:59,2026-05-20,13:30,120,Court 3,48.0,frei,0
2026-05-20T09:53:59,2026-05-20,14:00,60,Court 3,24.0,frei,0
2026-05-20T09:53:59,2026-05-20,14:00,90,Court 3,36.0,frei,0
2026-05-20T09:53:59,2026-05-20,14:00,120,Court 3,48.0,frei,0
2026-05-20T09:53:59,2026-05-20,14:30,60,Court 3,24.0,frei,0
2026-05-20T09:53:59,2026-05-20,14:30,90,Court 3,36.0,frei,0
2026-05-20T09:53:59,2026-05-20,15:00,60,Court 3,24.0,frei,0
2026-05-20T09:53:59,2026-05-20,15:00,120,Court 3,64.0,frei,0
2026-05-20T09:53:59,2026-05-20,15:30,90,Court 3,52.0,frei,0
2026-05-20T09:53:59,2026-05-20,16:00,60,Court 3,40.0,frei,0
2026-05-20T09:53:59,2026-05-20,18:30,90,Court 3,60.0,frei,0
