datum_snapshot,datum_slot,uhrzeit_slot,dauer_minuten,court,preis,status,tage_im_voraus
2026-05-19T15:33:22,2026-06-01,10:30,90,Outdoor 3,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,120,Outdoor 3,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,150,Outdoor 3,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,60,Outdoor 3,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,90,Outdoor 3,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,120,Outdoor 3,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,150,Outdoor 3,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,60,Outdoor 3,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,90,Outdoor 3,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,120,Outdoor 3,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,150,Outdoor 3,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,60,Outdoor 3,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,90,Outdoor 3,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,120,Outdoor 3,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,150,Outdoor 3,66.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,60,Outdoor 3,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,90,Outdoor 3,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,120,Outdoor 3,54.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,150,Outdoor 3,72.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,60,Outdoor 3,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,90,Outdoor 3,42.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,120,Outdoor 3,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,150,Outdoor 3,78.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:30,60,Outdoor 3,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:30,90,Outdoor 3,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:30,120,Outdoor 3,66.0,frei,13
2026-05-19T15:33:22,2026-06-01,14:00,60,Outdoor 3,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,14:00,90,Outdoor 3,54.0,frei,13
2026-05-19T15:33:22,2026-06-01,14:00,150,Outdoor 3,90.0,frei,13
2026-05-19T15:33:22,2026-06-01,14:30,60,Outdoor 3,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,14:30,120,Outdoor 3,72.0,frei,13
2026-05-19T15:33:22,2026-06-01,15:00,90,Outdoor 3,54.0,frei,13
2026-05-19T15:33:22,2026-06-01,15:30,60,Outdoor 3,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,18:30,90,Outdoor 3,54.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:00,60,Outdoor 1,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,60,Outdoor 1,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,90,Outdoor 1,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,120,Outdoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,60,Outdoor 1,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,90,Outdoor 1,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,120,Outdoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,60,Outdoor 1,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,90,Outdoor 1,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,120,Outdoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,60,Outdoor 1,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,90,Outdoor 1,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,120,Outdoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,60,Outdoor 1,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,90,Outdoor 1,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,120,Outdoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,60,Outdoor 1,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,90,Outdoor 1,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,120,Outdoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,60,Outdoor 1,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,90,Outdoor 1,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,60,Outdoor 1,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,120,Outdoor 1,66.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,90,Outdoor 1,51.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:30,60,Outdoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,20:00,60,Outdoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,20:00,120,Outdoor 1,66.0,frei,13
2026-05-19T15:33:22,2026-06-01,21:00,60,Outdoor 1,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:00,60,Indoor 3,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:00,90,Indoor 3,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:00,120,Indoor 3,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:00,60,Indoor 3,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:00,90,Indoor 3,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:00,120,Indoor 3,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,60,Indoor 3,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,90,Indoor 3,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,120,Indoor 3,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,60,Indoor 3,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,90,Indoor 3,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,120,Indoor 3,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,60,Indoor 3,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,90,Indoor 3,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,120,Indoor 3,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,60,Indoor 3,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,90,Indoor 3,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,120,Indoor 3,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,60,Indoor 3,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,90,Indoor 3,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,120,Indoor 3,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,60,Indoor 3,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,90,Indoor 3,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,120,Indoor 3,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,60,Indoor 3,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,90,Indoor 3,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,60,Indoor 3,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,120,Indoor 3,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,90,Indoor 3,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,60,Indoor 3,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,20:00,60,Indoor 3,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,20:00,120,Indoor 3,66.0,frei,13
2026-05-19T15:33:22,2026-06-01,21:00,60,Indoor 3,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:00,60,Indoor 4,22.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:00,90,Indoor 4,33.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:00,90,Indoor 4,33.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:30,60,Indoor 4,22.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,60,Indoor 4,22.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,90,Indoor 4,33.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,120,Indoor 4,44.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,60,Indoor 4,22.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,90,Indoor 4,33.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,120,Indoor 4,44.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,60,Indoor 4,22.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,90,Indoor 4,33.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,120,Indoor 4,44.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,60,Indoor 4,22.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,90,Indoor 4,33.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,120,Indoor 4,44.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,60,Indoor 4,22.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,90,Indoor 4,33.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,120,Indoor 4,44.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,60,Indoor 4,22.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,90,Indoor 4,33.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,60,Indoor 4,22.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,120,Indoor 4,52.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:30,90,Indoor 4,41.0,frei,13
2026-05-19T15:33:22,2026-06-01,14:00,60,Indoor 4,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,18:00,60,Indoor 4,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,18:00,90,Indoor 4,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,18:00,120,Indoor 4,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,19:00,60,Indoor 4,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,19:00,90,Indoor 4,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,19:00,120,Indoor 4,56.0,frei,13
2026-05-19T15:33:22,2026-06-01,19:30,60,Indoor 4,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,19:30,90,Indoor 4,41.0,frei,13
2026-05-19T15:33:22,2026-06-01,20:00,60,Indoor 4,26.0,frei,13
2026-05-19T15:33:22,2026-06-01,20:00,120,Indoor 4,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,20:30,90,Indoor 4,33.0,frei,13
2026-05-19T15:33:22,2026-06-01,21:00,60,Indoor 4,22.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:00,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:00,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:00,120,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:00,150,Indoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:30,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:30,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:30,120,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:30,150,Indoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:00,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:00,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:00,120,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:00,150,Indoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:30,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:30,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:30,120,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:30,150,Indoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:00,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:00,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:00,120,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:00,150,Indoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,120,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,150,Indoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,120,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,150,Indoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,120,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,150,Indoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,120,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,150,Indoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,120,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,150,Indoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,120,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,150,Indoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,120,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,150,Indoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,120,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,90,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,150,Indoor 1,72.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,60,Indoor 1,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,120,Indoor 1,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:30,90,Indoor 1,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,14:00,60,Indoor 1,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:00,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:00,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:00,120,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:00,150,Indoor 2,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:30,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:30,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:30,120,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:30,150,Indoor 2,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:00,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:00,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:00,120,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:00,150,Indoor 2,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:30,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:30,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:30,120,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,07:30,150,Indoor 2,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:00,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:00,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:00,120,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:00,150,Indoor 2,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,120,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,150,Indoor 2,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,120,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,150,Indoor 2,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,120,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,150,Indoor 2,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,120,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,150,Indoor 2,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,120,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,150,Indoor 2,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,120,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,150,Indoor 2,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,120,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,150,Indoor 2,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,120,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,90,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,150,Indoor 2,72.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,60,Indoor 2,24.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,120,Indoor 2,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:30,90,Indoor 2,48.0,frei,13
2026-05-19T15:33:22,2026-06-01,14:00,60,Indoor 2,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,06:00,90,Outdoor 4,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,60,Outdoor 4,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,08:30,90,Outdoor 4,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:30,90,Outdoor 4,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,60,Outdoor 4,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,60,Outdoor 4,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,90,Outdoor 4,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,120,Outdoor 4,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,60,Outdoor 4,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,120,Outdoor 4,72.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:30,90,Outdoor 4,57.0,frei,13
2026-05-19T15:33:22,2026-06-01,14:00,60,Outdoor 4,42.0,frei,13
2026-05-19T15:33:22,2026-06-01,20:00,60,Outdoor 4,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,20:00,120,Outdoor 4,66.0,frei,13
2026-05-19T15:33:22,2026-06-01,21:00,60,Outdoor 4,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,60,Single Indoor,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,90,Single Indoor,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,09:00,120,Single Indoor,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,60,Single Indoor,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,90,Single Indoor,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:00,120,Single Indoor,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,60,Single Indoor,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,90,Single Indoor,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,10:30,120,Single Indoor,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,60,Single Indoor,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,90,Single Indoor,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:00,120,Single Indoor,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,60,Single Indoor,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,90,Single Indoor,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,11:30,120,Single Indoor,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,60,Single Indoor,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,90,Single Indoor,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:00,120,Single Indoor,60.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,60,Single Indoor,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,12:30,90,Single Indoor,45.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,60,Single Indoor,30.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:00,120,Single Indoor,72.0,frei,13
2026-05-19T15:33:22,2026-06-01,13:30,90,Single Indoor,57.0,frei,13
2026-05-19T15:33:22,2026-06-01,14:00,60,Single Indoor,42.0,frei,13
2026-05-19T15:33:22,2026-06-01,20:00,60,Single Indoor,36.0,frei,13
2026-05-19T15:33:22,2026-06-01,20:00,120,Single Indoor,66.0,frei,13
2026-05-19T15:33:22,2026-06-01,21:00,60,Single Indoor,30.0,frei,13
2026-05-19T15:33:22,2026-06-02,06:00,60,Indoor 1,24.0,frei,14
2026-05-19T15:33:22,2026-06-02,06:00,90,Indoor 1,36.0,frei,14
2026-05-19T15:33:22,2026-06-02,06:00,120,Indoor 1,48.0,frei,14
2026-05-19T15:33:22,2026-06-02,06:00,150,Indoor 1,60.0,frei,14
2026-05-19T15:33:22,2026-06-02,06:30,60,Indoor 1,24.0,frei,14
2026-05-19T15:33:22,2026-06-02,06:30,90,Indoor 1,36.0,frei,14
2026-05-19T15:33:22,2026-06-02,06:30,120,Indoor 1,48.0,frei,14
2026-05-19T15:33:22,2026-06-02,06:30,150,Indoor 1,60.0,frei,14
2026-05-19T15:33:22,2026-06-02,07:00,60,Indoor 1,24.0,frei,14
2026-05-19T15:33:22,2026-06-02,07:00,90,Indoor 1,36.0,frei,14
2026-05-19T15:33:22,2026-06-02,07:00,120,Indoor 1,48.0,frei,14
2026-05-19T15:33:22,2026-06-02,07:00,150,Indoor 1,60.0,frei,14
2026-05-19T15:33:22,2026-06-02,07:30,60,Indoor 1,24.0,frei,14
2026-05-19T15:33:22,2026-06-02,07:30,90,Indoor 1,36.0,frei,14
2026-05-19T15:33:22,2026-06-02,07:30,120,Indoor 1,48.0,frei,14
2026-05-19T15:33:22,2026-06-02,07:30,150,Indoor 1,60.0,frei,14
2026-05-19T15:33:22,2026-06-02,08:00,60,Indoor 1,24.0,frei,14
2026-05-19T15:33:22,2026-06-02,08:00,90,Indoor 1,36.0,frei,14
2026-05-19T15:33:22,2026-06-02,08:00,120,Indoor 1,48.0,frei,14
2026-05-19T15:33:22,2026-06-02,08:00,150,Indoor 1,60.0,frei,14
2026-05-19T15:33:22,2026-06-02,08:30,60,Indoor 1,24.0,frei,14
2026-05-19T15:33:22,2026-06-02,08:30,90,Indoor 1,36.0,frei,14
2026-05-19T15:33:22,2026-06-02,08:30,120,Indoor 1,48.0,frei,14
2026-05-19T15:33:22,2026-06-02,08:30,150,Indoor 1,60.0,frei,14
2026-05-19T15:33:22,2026-06-02,09:00,60,Indoor 1,24.0,frei,14
2026-05-19T15:33:22,2026-06-02,09:00,90,Indoor 1,36.0,frei,14
2026-05-19T15:33:22,2026-06-02,09:00,120,Indoor 1,48.0,frei,14
2026-05-19T15:33:22,2026-06-02,09:00,150,Indoor 1,60.0,frei,14
2026-05-19T15:33:22,2026-06-02,09:30,60,Indoor 1,24.0,frei,14
2026-05-19T15:33:22,2026-06-02,09:30,90,Indoor 1,36.0,frei,14
2026-05-19T15:33:22,2026-06-02,09:30,120,Indoor 1,48.0,frei,14
2026-05-19T15:33:22,2026-06-02,09:30,150,Indoor 1,60.0,frei,14
2026-05-19T15:33:22,2026-06-02,10:00,60,Indoor 1,24.0,frei,14
2026-05-19T15:33:22,2026-06-02,10:00,90,Indoor 1,36.0,frei,14
2026-05-19T15:33:22,2026-06-02,10:00,120,Indoor 1,48.0,frei,14
2026-05-19T15:33:22,2026-06-02,10:00,150,Indoor 1,60.0,frei,14
2026-05-19T15:33:22,2026-06-02,10:30,60,Indoor 1,24.0,frei,14
2026-05-19T15:33:22,2026-06-02,10:30,90,Indoor 1,36.0,frei,14
2026-05-19T15:33:22,2026-06-02,10:30,120,Indoor 1,48.0,frei,14
2026-05-19T15:33:22,2026-06-02,10:30,150,Indoor 1,60.0,frei,14
